RecordID,CustomerID,City,Lat Long,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Churn Reason
1,3668-QPYBK,Los Angeles,"33.964131, -118.272783",Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,3239,Competitor made better offer
2,9237-HQITU,Los Angeles,"34.059281, -118.30742",Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,2701,Moved
3,9305-CDSKC,Los Angeles,"34.048013, -118.293953",Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,5372,Moved
4,7892-POOKP,Los Angeles,"34.062125, -118.315709",Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,5003,Moved
5,0280-XJGEX,Los Angeles,"34.039224, -118.266293",Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5340,Competitor had better devices
6,4190-MFLUW,Los Angeles,"34.066367, -118.309868",Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,5925,Competitor offered higher download speeds
7,8779-QRDMV,Los Angeles,"34.02381, -118.156582",Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,5433,Competitor offered more data
8,1066-JKSGK,Los Angeles,"34.066303, -118.435479",Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,4832,Competitor made better offer
9,6467-CHFZW,Los Angeles,"34.099869, -118.326843",Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,5789,Competitor had better devices
10,8665-UTDHZ,Los Angeles,"34.089953, -118.294824",Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,2915,Competitor had better devices
11,8773-HHUOZ,Los Angeles,"34.078821, -118.177576",Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,3022,Competitor offered higher download speeds
12,6047-YHPVI,Los Angeles,"34.110845, -118.259595",Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,2454,Competitor offered higher download speeds
13,5380-WJKOV,Los Angeles,"34.137412, -118.207607",Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2941,Competitor offered higher download speeds
14,8168-UQWWF,Los Angeles,"34.11572, -118.192754",Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,5674,Competitor offered more data
15,7760-OYPDY,Los Angeles,"33.987945, -118.370442",Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,5586,Competitor offered more data
16,9420-LOJKX,Los Angeles,"33.92128, -118.274186",Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,2966,Competitor offered more data
17,7495-OOKFY,Los Angeles,"34.044271, -118.185237",Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,5302,Competitor made better offer
18,1658-BYGOY,Los Angeles,"34.108833, -118.229715",Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,3179,Competitor made better offer
19,5698-BQJOH,Beverly Hills,"34.063947, -118.383001",Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,5571,Price too high
20,5919-TMRGD,Huntington Park,"33.97803, -118.217141",Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,2483,Product dissatisfaction
21,9191-MYQKX,Lynwood,"33.923573, -118.200669",Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,3457,Service dissatisfaction
22,8637-XJIVR,Marina Del Rey,"33.977468, -118.445475",Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,5806,Lack of self-service on Website
23,0278-YXOOG,Inglewood,"33.956445, -118.358634",Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,2604,Network reliability
24,4598-XLKNJ,Inglewood,"33.936291, -118.332639",Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,5337,Limited range of services
25,3192-NQECA,Santa Monica,"34.031529, -118.491156",Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5034,Lack of affordable download/upload speed
26,0486-HECZI,Torrance,"33.867257, -118.330794",Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,5154,Long distance charges
27,4846-WHAFZ,Whittier,"33.972119, -118.020188",Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,2793,Extra data charges
28,5299-RULOA,Whittier,"33.976678, -118.065875",Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,5998,Price too high
29,0404-SWRVG,La Habra,"33.940619, -117.9513",Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,4415,Product dissatisfaction
30,4412-YLTKF,Pico Rivera,"33.989524, -118.089299",Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,4638,Service dissatisfaction
31,6207-WIOLX,Avalon,"33.391181, -118.421305",Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,4190,Lack of self-service on Website
32,3091-FYHKI,Harbor City,"33.798266, -118.300237",Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,2301,Network reliability
33,2372-HWUHI,Lakewood,"33.840524, -118.148403",Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,2570,Don't know
34,0390-DCFDQ,Los Alamitos,"33.79499, -118.065591",Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,3964,Don't know
35,4080-OGPJL,San Pedro,"33.736387, -118.284363",Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,2662,Don't know
36,2135-RXIHG,Carson,"33.822295, -118.26411",Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1,2600,Poor expertise of online support
37,3874-EQOEP,Long Beach,"33.783047, -118.1486",Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,2786,Poor expertise of phone support
38,0867-MKZVY,Altadena,"34.196837, -118.142236",Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,5719,Price too high
39,3376-BMGFE,Monrovia,"34.1528, -118.000482",Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,1,4287,Product dissatisfaction
40,3445-HXXGF,Sierra Madre,"34.168686, -118.057505",Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,5444,Service dissatisfaction
41,1875-QIVME,Tujunga,"34.296574, -118.244839",Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,1,4690,Lack of self-service on Website
42,0691-JVSYA,Pasadena,"34.167465, -118.165327",Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,4328,Network reliability
43,2656-FMOKZ,Pasadena,"34.139402, -118.128658",Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,1,5717,Limited range of services
44,2070-FNEXE,Pasadena,"34.159007, -118.087353",Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,1,4419,Lack of affordable download/upload speed
45,6317-YPKDH,Glendale,"34.167926, -118.267539",Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,1,4534,Long distance charges
46,9367-WXLCH,Glendale,"34.136306, -118.26036",Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,1,2152,Extra data charges
47,1918-ZBFQJ,Glendale,"34.162515, -118.203869",Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,1,5142,Price too high
48,1024-GUALD,Glendale,"34.182378, -118.262922",Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,4851,Product dissatisfaction
49,2472-OVKUP,Canoga Park,"34.224377, -118.632656",Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531,1,2283,Service dissatisfaction
